"","Age","EstimatedSalary","Purchased","GenderBinary"
"1",19,19,0,0
"2",35,20,0,0
"3",26,43,0,1
"4",27,57,0,1
"5",19,76,0,0
"6",27,58,0,0
"7",27,84,0,1
"8",32,150,1,1
"9",25,33,0,0
"10",35,65,0,1
"11",26,80,0,1
"12",26,52,0,1
"13",20,86,0,0
"14",32,18,0,0
"15",18,82,0,0
"16",29,80,0,0
"17",47,25,1,0
"18",45,26,1,0
"19",46,28,1,0
"20",48,29,1,1
"21",45,22,1,0
"22",47,49,1,1
"23",48,41,1,0
"24",45,22,1,1
"25",46,23,1,0
"26",47,20,1,0
"27",49,28,1,0
"28",47,30,1,1
"29",29,43,0,0
"30",31,18,0,0
"31",31,74,0,0
"32",27,137,1,1
"33",21,16,0,1
"34",28,44,0,1
"35",27,90,0,0
"36",35,27,0,0
"37",33,28,0,1
"38",30,49,0,0
"39",26,72,0,1
"40",27,31,0,1
"41",27,17,0,1
"42",33,51,0,1
"43",35,108,0,0
"44",30,15,0,0
"45",28,84,0,1
"46",23,20,0,0
"47",25,79,0,0
"48",27,54,0,1
"49",30,135,1,0
"50",31,89,0,1
"51",24,32,0,1
"52",18,44,0,1
"53",29,83,0,1
"54",35,23,0,1
"55",27,58,0,1
"56",24,55,0,1
"57",23,48,0,1
"58",28,79,0,0
"59",22,18,0,0
"60",32,117,0,1
"61",27,20,0,0
"62",25,87,0,0
"63",23,66,0,1
"64",32,120,1,0
"65",59,83,0,1
"66",24,58,0,0
"67",24,19,0,0
"68",23,82,0,1
"69",22,63,0,1
"70",31,68,0,1
"71",25,80,0,0
"72",24,27,0,1
"73",20,23,0,1
"74",33,113,0,1
"75",32,18,0,0
"76",34,112,1,0
"77",18,52,0,0
"78",22,27,0,1
"79",28,87,0,1
"80",26,17,0,1
"81",30,80,0,0
"82",39,42,0,0
"83",20,49,0,0
"84",35,88,0,0
"85",30,62,0,1
"86",31,118,1,1
"87",24,55,0,0
"88",28,85,0,1
"89",26,81,0,0
"90",35,50,0,0
"91",22,81,0,0
"92",30,116,0,1
